slice_file_name,FSID,Maximum_Amplitude,Minimum_Amplitude,Start Time in original File(Sec),End Time in orignal File(Sec),Class ID,fold,class,Location on drive
Ball_Bounce_On_Ground.wav001_user.wav,211213,0.608783424,-0.274387211,[[4.65487528]],[[4.95482993]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav001_user.wav
Ball_Bounce_On_Ground.wav002_user.wav,211213,0.688888371,-0.962503433,[[ 21.5752381 404.8645805]],[[21.87519274]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav002_user.wav
Ball_Bounce_On_Ground.wav003_user.wav,211213,0.669433415,-0.694867909,[[23.8215873]],[[24.12154195]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav003_user.wav
Ball_Bounce_On_Ground.wav004_user.wav,211213,0.597916245,-0.766195238,[[24.99750567]],[[25.29746032]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav004_user.wav
Ball_Bounce_On_Ground.wav005_user.wav,211213,0.55215323,-0.623118699,[[30.62698413]],[[30.92693878]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav005_user.wav
Ball_Bounce_On_Ground.wav006_user.wav,211213,0.580958128,-0.677036107,[[38.69619048]],[[38.99614512]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav006_user.wav
Ball_Bounce_On_Ground.wav007_user.wav,211213,0.695623219,-0.715805233,[[42.30970522]],[[42.60965986]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav007_user.wav
Ball_Bounce_On_Ground.wav008_user.wav,211213,0.511458099,-0.618572056,[[47.34353741]],[[ 47.64349206 353.0293424  449.20589569]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav008_user.wav
Ball_Bounce_On_Ground.wav009_user.wav,211213,0.556172371,-0.678259254,[[48.65718821]],[[48.95714286]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav009_user.wav
Ball_Bounce_On_Ground.wav010_user.wav,211213,0.789080203,-0.883010924,[[49.8845805]],[[50.18453515]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav010_user.wav
Ball_Bounce_On_Ground.wav011_user.wav,211213,0.509620965,-1.029293776,[[51.11995465]],[[51.4199093]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav011_user.wav
Ball_Bounce_On_Ground.wav012_user.wav,211213,0.620610356,-1.021171093,[[57.25043084]],[[57.55038549]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav012_user.wav
Ball_Bounce_On_Ground.wav013_user.wav,211213,0.575352728,-0.901615024,[[ 58.49369615 250.78113379]],[[58.79365079]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav013_user.wav
Ball_Bounce_On_Ground.wav014_user.wav,211213,0.766437769,-0.747336805,[[59.68929705]],[[59.9892517]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav014_user.wav
Ball_Bounce_On_Ground.wav015_user.wav,211213,0.509389639,-0.853335857,[[62.18104308]],[[62.48099773]],2,1,Ball Ground Hit,C:/Users/Ankit Kumar/Audio_Data/BallBounceOnGround/Ball_Bounce_On_Ground.wav015_user.wav
